"altura_tot","diametro","inclinacio","origen","barrio","comuna","fres_am"
14,32,0,"Exótico","PALERMO",14,"si"
18,59,5,"Exótico","VILLA URQUIZA",12,"no"
4,21,0,"Exótico","VILLA REAL",10,"no"
9,46,0,"Exótico","VILLA LURO",10,"si"
6,20,0,"Exótico","VILLA PUEYRREDON",12,"no"
12,24,0,"Exótico","PALERMO",14,"si"
10,55,0,"Exótico","FLORES",7,"no"
4,30,0,"Nativo/Autóctono","VILLA DEVOTO",11,"no"
5,21,0,"Nativo/Autóctono","CHACARITA",15,"no"
12,30,25,"Exótico","CONSTITUCION",1,"no"
16,60,0,"Nativo/Autóctono","PARQUE CHACABUCO",7,"no"
4,22,0,"Exótico","VILLA RIACHUELO",8,"no"
8,35,0,"Exótico","VILLA GRAL. MITRE",11,"si"
10,34,0,"Exótico","VILLA URQUIZA",12,"no"
8,54,0,"Exótico","FLORESTA",10,"no"
2,16,0,"Exótico","FLORES",7,"no"
24,90,0,"Exótico","VILLA LURO",10,"no"
12,62,8,"Exótico","VILLA URQUIZA",12,"no"
5,26,0,"Exótico","NUEVA POMPEYA",4,"no"
6,41,0,"Exótico","VILLA DEVOTO",11,"si"
3,4,10,"Exótico","SAN CRISTOBAL",3,"no"
7,39,0,"Exótico","VILLA GRAL. MITRE",11,"no"
9,32,0,"Exótico","VELEZ SARSFIELD",10,"no"
13,28,0,"Exótico","PARQUE CHACABUCO",7,"no"
4,13,0,"Exótico","VILLA LUGANO",8,"no"
3,26,0,"Exótico","VILLA DEVOTO",11,"no"
10,30,0,"Exótico","COLEGIALES",13,"si"
2,21,0,"Exótico","MATADEROS",9,"no"
10,30,0,"Exótico","SAN CRISTOBAL",3,"no"
7,16,0,"Exótico","VILLA DEVOTO",11,"no"
10,27,0,"Exótico","FLORES",7,"no"
2,6,0,"Exótico","CABALLITO",6,"no"
8,13,17,"Exótico","SAAVEDRA",12,"si"
6,35,6,"Exótico","NUEVA POMPEYA",4,"si"
25,95,0,"Nativo/Autóctono","SAAVEDRA",12,"no"
5,10,0,"Exótico","VILLA URQUIZA",12,"si"
5,15,25,"Exótico","PALERMO",14,"si"
9,34,0,"Exótico","CABALLITO",6,"si"
1,1,0,"Exótico","BELGRANO",13,"no"
15,57,0,"Exótico","VILLA REAL",10,"no"
17,73,0,"Exótico","VILLA LUGANO",8,"no"
6,10,0,"Exótico","CABALLITO",6,"si"
20,70,0,"Exótico","PALERMO",14,"no"
