"altura_tot","diametro","inclinacio","origen","barrio","comuna","fres_am"
9,28,0,"Exótico","BARRACAS",4,"si"
12,54,0,"Exótico","VILLA REAL",10,"si"
6,15,0,"Exótico","BELGRANO",13,"no"
8,19,9,"Exótico","COLEGIALES",13,"si"
9,48,5,"Exótico","SAAVEDRA",12,"si"
21,60,0,"Exótico","RECOLETA",2,"si"
12,35,8,"Exótico","CABALLITO",6,"si"
7,46,0,"Exótico","VILLA DEL PARQUE",11,"si"
19,52,5,"Exótico","ALMAGRO",5,"no"
8,76,0,"Exótico","LINIERS",9,"no"
19,40,0,"Exótico","VILLA LURO",10,"no"
6,35,0,"Exótico","VILLA DEVOTO",11,"no"
10,24,0,"Exótico","CHACARITA",15,"no"
8,32,0,"Exótico","BOCA",4,"si"
11,46,16,"Exótico","BOCA",4,"si"
7,31,0,"Exótico","MONTE CASTRO",10,"si"
10,25,0,"Exótico","PALERMO",14,"si"
11,29,0,"Exótico","BARRACAS",4,"si"
15,55,0,"Exótico","PALERMO",14,"no"
12,50,0,"Exótico","VILLA PUEYRREDON",12,"no"
8,25,0,"Exótico","BOCA",4,"no"
4,25,0,"Exótico","SAAVEDRA",12,"si"
7,21,0,"Exótico","VERSALLES",10,"no"
13,32,0,"Exótico","VILLA DEVOTO",11,"si"
5,28,0,"Exótico","VILLA DEVOTO",11,"si"
13,42,0,"Exótico","CABALLITO",6,"no"
7,33,0,"Exótico","MATADEROS",9,"si"
7,24,12,"Exótico","MONTE CASTRO",10,"no"
8,22,0,"Exótico","CABALLITO",6,"si"
5,35,6,"Exótico","BELGRANO",13,"no"
6,17,10,"Exótico","BOEDO",5,"si"
7,31,0,"Exótico","MATADEROS",9,"no"
14,72,0,"Exótico","PARQUE CHACABUCO",7,"no"
11,26,10,"Exótico","VILLA CRESPO",15,"si"
6,46,0,"Exótico","MATADEROS",9,"no"
8,12,0,"Exótico","BALVANERA",3,"si"
2,3,0,"Exótico","MATADEROS",9,"no"
18,70,0,"Exótico","VERSALLES",10,"no"
2,3,0,"Exótico","MONSERRAT",1,"no"
2,23,0,"Exótico","VILLA SANTA RITA",11,"no"
6,55,0,"Exótico","VILLA PUEYRREDON",12,"no"
2,6,0,"Exótico","VILLA CRESPO",15,"no"
5,19,0,"Exótico","VILLA RIACHUELO",8,"no"
6,27,10,"Exótico","VILLA URQUIZA",12,"si"
8,37,10,"Exótico","VILLA DEVOTO",11,"no"
7,49,0,"Exótico","VILLA SOLDATI",8,"si"
10,40,10,"Exótico","NUÑEZ",13,"no"
9,50,0,"Exótico","CABALLITO",6,"no"
7,42,0,"Exótico","LINIERS",9,"no"
10,29,0,"Exótico","BALVANERA",3,"si"
7,28,7,"Exótico","SAAVEDRA",12,"si"
9,34,0,"Exótico","PALERMO",14,"si"
12,65,0,"Exótico","PARQUE CHACABUCO",7,"no"
6,43,16,"Exótico","FLORESTA",10,"no"
8,25,0,"Exótico","FLORES",7,"si"
12,30,10,"Exótico","BARRACAS",4,"si"
10,43,23,"Nativo/Autóctono","PARQUE AVELLANEDA",9,"no"
11,70,5,"Exótico","VELEZ SARSFIELD",10,"no"
14,83,0,"Exótico","VILLA GRAL. MITRE",11,"no"
7,25,0,"Exótico","FLORESTA",10,"si"
9,25,15,"Exótico","ALMAGRO",5,"si"
10,37,0,"Exótico","BARRACAS",4,"no"
4,30,0,"Exótico","PARQUE AVELLANEDA",9,"no"
11,48,10,"Exótico","FLORESTA",10,"no"
4,20,14,"Exótico","MATADEROS",9,"no"
10,43,0,"Exótico","VILLA URQUIZA",12,"si"
6,13,10,"Exótico","FLORESTA",10,"si"
2,4,0,"Exótico","VERSALLES",10,"no"
13,24,12,"Exótico","BELGRANO",13,"si"
3,15,0,"Exótico","BALVANERA",3,"no"
7,22,0,"Exótico","VILLA DEL PARQUE",11,"si"
9,54,2,"Exótico","VILLA LUGANO",8,"no"
24,62,12,"Exótico","BELGRANO",13,"no"
7,16,0,"Exótico","VILLA DEVOTO",11,"si"
18,79,5,"Exótico","VILLA LURO",10,"no"
15,84,10,"Exótico","SAN TELMO",1,"no"
6,13,0,"Exótico","PARQUE AVELLANEDA",9,"no"
11,57,0,"Exótico","FLORES",7,"no"
14,28,0,"Exótico","CABALLITO",6,"si"
24,58,10,"Nativo/Autóctono","CABALLITO",6,"no"
4,35,0,"Exótico","PALERMO",14,"si"
11,36,9,"Exótico","SAN CRISTOBAL",3,"si"
2,3,0,"Exótico","PATERNAL",15,"no"
6,14,5,"Exótico","PALERMO",14,"si"
8,34,0,"Exótico","COLEGIALES",13,"si"
12,55,0,"Exótico","VERSALLES",10,"no"
8,25,0,"Exótico","VILLA CRESPO",15,"si"
5,12,0,"Exótico","MONTE CASTRO",10,"no"
3,3,0,"Exótico","VILLA URQUIZA",12,"si"
9,23,0,"Exótico","MONSERRAT",1,"si"
17,58,24,"Nativo/Autóctono","PALERMO",14,"no"
12,26,0,"Nativo/Autóctono","PALERMO",14,"no"
5,13,0,"Exótico","ALMAGRO",5,"si"
10,8,0,"Exótico","RECOLETA",2,"si"
7,20,0,"Exótico","PALERMO",14,"si"
11,44,5,"Exótico","VELEZ SARSFIELD",10,"no"
4,72,0,"Exótico","VILLA PUEYRREDON",12,"no"
7,25,18,"Exótico","SAN CRISTOBAL",3,"si"
15,130,0,"Nativo/Autóctono","PALERMO",14,"no"
6,10,0,"Exótico","VILLA DEVOTO",11,"no"
5,42,10,"Exótico","VILLA SOLDATI",8,"no"
16,82,0,"Exótico","VILLA LURO",10,"no"
7,29,0,"Exótico","VILLA RIACHUELO",8,"no"
10,27,0,"Exótico","MONTE CASTRO",10,"si"
10,52,0,"Exótico","CABALLITO",6,"no"
12,40,10,"Exótico","FLORESTA",10,"no"
7,37,0,"Exótico","PARQUE AVELLANEDA",9,"si"
8,14,13,"Exótico","MATADEROS",9,"si"
4,23,4,"Exótico","SAAVEDRA",12,"no"
24,70,20,"Nativo/Autóctono","VILLA LURO",10,"no"
9,3,18,"Exótico","BARRACAS",4,"no"
7,56,9,"Exótico","VILLA LURO",10,"no"
7,39,13,"Exótico","RECOLETA",2,"no"
20,53,0,"Exótico","VILLA DEL PARQUE",11,"no"
7,29,0,"Exótico","ALMAGRO",5,"no"
17,55,0,"Exótico","CHACARITA",15,"no"
6,42,0,"Exótico","COLEGIALES",13,"si"
5,6,10,"Nativo/Autóctono","RECOLETA",2,"no"
8,19,0,"Exótico","PARQUE CHACABUCO",7,"si"
13,56,15,"Nativo/Autóctono","BARRACAS",4,"no"
10,64,7,"Exótico","MATADEROS",9,"no"
2,8,0,"Exótico","MATADEROS",9,"no"
7,20,16,"Exótico","BELGRANO",13,"si"
10,30,15,"Exótico","PARQUE CHACABUCO",7,"si"
28,86,0,"Exótico","PALERMO",14,"no"
12,46,0,"Exótico","AGRONOMIA",15,"no"
8,29,0,"Exótico","COLEGIALES",13,"si"
21,50,0,"Exótico","VILLA URQUIZA",12,"no"
4,6,0,"Exótico","VILLA DEL PARQUE",11,"no"
10,37,0,"Exótico","PARQUE CHACABUCO",7,"no"
5,23,0,"Exótico","VILLA SOLDATI",8,"no"
27,65,0,"Exótico","BELGRANO",13,"no"
10,22,0,"Exótico","PALERMO",14,"no"
10,47,7,"Exótico","CABALLITO",6,"no"
4,22,5,"Exótico","CABALLITO",6,"si"
7,35,0,"Exótico","NUÑEZ",13,"si"
6,16,0,"Exótico","NUEVA POMPEYA",4,"si"
26,70,0,"Nativo/Autóctono","PALERMO",14,"no"
16,65,0,"Nativo/Autóctono","PARQUE AVELLANEDA",9,"no"
6,16,0,"Exótico","PALERMO",14,"si"
10,19,0,"Exótico","COLEGIALES",13,"si"
12,63,0,"Exótico","BALVANERA",3,"no"
7,25,0,"Exótico","LINIERS",9,"si"
3,17,0,"Exótico","CABALLITO",6,"no"
5,30,0,"Exótico","VILLA PUEYRREDON",12,"no"
7,28,0,"Exótico","FLORESTA",10,"si"
6,40,0,"Exótico","VILLA URQUIZA",12,"no"
4,15,0,"Exótico","PALERMO",14,"no"
14,42,0,"Exótico","CABALLITO",6,"si"
11,90,10,"Exótico","PARQUE CHAS",15,"no"
8,33,12,"Exótico","MATADEROS",9,"si"
13,30,5,"Exótico","FLORESTA",10,"si"
11,28,3,"Exótico","MONSERRAT",1,"si"
7,32,0,"Exótico","NUEVA POMPEYA",4,"si"
11,33,6,"Exótico","SAAVEDRA",12,"no"
9,46,6,"Exótico","VILLA PUEYRREDON",12,"no"
7,18,0,"Exótico","PARQUE AVELLANEDA",9,"si"
10,61,25,"Exótico","FLORES",7,"no"
2,45,0,"Exótico","VILLA DEVOTO",11,"si"
6,33,15,"Exótico","VILLA LUGANO",8,"no"
5,8,0,"Exótico","CONSTITUCION",1,"si"
7,20,0,"Exótico","VERSALLES",10,"si"
17,41,11,"Nativo/Autóctono","PALERMO",14,"no"
18,79,7,"Exótico","VILLA URQUIZA",12,"no"
8,24,6,"Exótico","BOEDO",5,"si"
7,27,11,"Exótico","CABALLITO",6,"no"
18,61,0,"Exótico","VILLA PUEYRREDON",12,"no"
8,23,0,"Exótico","VERSALLES",10,"si"
14,42,0,"Exótico","VILLA DEVOTO",11,"si"
18,56,10,"Exótico","PALERMO",14,"no"
8,22,0,"Exótico","FLORES",7,"si"
9,26,0,"Exótico","FLORES",7,"si"
8,12,0,"Exótico","BALVANERA",3,"si"
10,50,0,"Exótico","VILLA PUEYRREDON",12,"no"
3,8,0,"Exótico","LINIERS",9,"no"
11,54,0,"Exótico","MATADEROS",9,"no"
8,36,15,"Exótico","LINIERS",9,"no"
7,27,0,"Exótico","SAN CRISTOBAL",3,"no"
13,24,11,"Exótico","NUEVA POMPEYA",4,"si"
4,9,0,"Exótico","AGRONOMIA",15,"no"
4,25,0,"Exótico","VERSALLES",10,"no"
5,9,15,"Exótico","CHACARITA",15,"no"
14,57,0,"Exótico","BELGRANO",13,"no"
4,8,0,"Exótico","BOCA",4,"no"
9,36,0,"Exótico","COLEGIALES",13,"no"
7,75,40,"Exótico","PALERMO",14,"no"
14,70,0,"Exótico","PALERMO",14,"no"
8,44,0,"Exótico","VILLA URQUIZA",12,"no"
20,80,0,"Exótico","CABALLITO",6,"no"
18,60,10,"Exótico","VILLA CRESPO",15,"no"
14,50,15,"Exótico","PARQUE CHACABUCO",7,"no"
8,35,0,"Exótico","VILLA DEVOTO",11,"si"
4,15,0,"Exótico","VILLA SOLDATI",8,"no"
5,35,0,"Exótico","PATERNAL",15,"no"
4,10,0,"Exótico","COLEGIALES",13,"no"
5,24,26,"Exótico","MATADEROS",9,"si"
8,32,12,"Exótico","MATADEROS",9,"no"
5,30,0,"Exótico","VILLA DEVOTO",11,"no"
9,86,15,"Exótico","COLEGIALES",13,"si"
8,16,5,"Exótico","BALVANERA",3,"si"
21,71,0,"Nativo/Autóctono","PALERMO",14,"no"
21,49,8,"Exótico","RECOLETA",2,"no"
12,42,10,"Exótico","COLEGIALES",13,"si"
10,29,0,"Exótico","NUEVA POMPEYA",4,"si"
10,10,0,"Exótico","ALMAGRO",5,"no"
14,57,0,"Exótico","VILLA REAL",10,"si"
10,40,0,"Exótico","FLORES",7,"si"
11,75,0,"Exótico","COGHLAN",12,"no"
6,22,15,"Exótico","VILLA DEVOTO",11,"no"
11,66,0,"Exótico","VILLA ORTUZAR",15,"no"
9,37,0,"Exótico","VILLA LUGANO",8,"no"
7,18,0,"Exótico","VILLA DEVOTO",11,"no"
8,18,0,"Exótico","NUEVA POMPEYA",4,"si"
3,20,0,"Nativo/Autóctono","BARRACAS",4,"no"
10,27,7,"Exótico","VILLA DEVOTO",11,"si"
4,19,0,"Exótico","BELGRANO",13,"no"
9,27,0,"Nativo/Autóctono","VILLA DEVOTO",11,"no"
11,20,10,"Exótico","BOCA",4,"si"
10,58,14,"Nativo/Autóctono","VILLA DEL PARQUE",11,"no"
12,40,0,"Exótico","MONTE CASTRO",10,"no"
6,16,0,"Exótico","PARQUE AVELLANEDA",9,"no"
3,13,0,"Exótico","VILLA RIACHUELO",8,"no"
3,23,0,"Exótico","VILLA RIACHUELO",8,"no"
13,52,11,"Exótico","ALMAGRO",5,"si"
13,79,0,"Exótico","VILLA SANTA RITA",11,"no"
6,68,0,"Exótico","VILLA DEVOTO",11,"si"
9,41,0,"Exótico","VILLA URQUIZA",12,"si"
7,15,0,"Exótico","VILLA GRAL. MITRE",11,"si"
6,19,11,"Exótico","CHACARITA",15,"no"
7,70,0,"Exótico","FLORES",7,"no"
6,51,0,"Exótico","VILLA DEVOTO",11,"si"
8,8,30,"Exótico","SAN TELMO",1,"no"
10,70,0,"Exótico","FLORES",7,"no"
2,5,0,"Exótico","CABALLITO",6,"no"
8,24,0,"Exótico","CABALLITO",6,"si"
8,15,0,"Exótico","RECOLETA",2,"si"
12,40,0,"Exótico","PALERMO",14,"no"
7,25,0,"Exótico","SAAVEDRA",12,"si"
7,21,0,"Exótico","VILLA SOLDATI",8,"no"
13,46,0,"Exótico","COLEGIALES",13,"si"
8,10,0,"Exótico","ALMAGRO",5,"si"
4,12,0,"Exótico","VILLA DEL PARQUE",11,"no"
9,17,0,"Exótico","COLEGIALES",13,"si"
22,70,0,"Exótico","FLORESTA",10,"si"
9,30,0,"Exótico","PALERMO",14,"no"
12,85,0,"Exótico","NUÑEZ",13,"no"
14,30,8,"Exótico","NUÑEZ",13,"si"
2,6,0,"Nativo/Autóctono","Dique 1",1,"no"
16,62,0,"Exótico","FLORESTA",10,"no"
10,19,14,"Exótico","BALVANERA",3,"si"
14,31,0,"Exótico","SAAVEDRA",12,"si"
3,10,0,"Exótico","RECOLETA",2,"no"
10,44,0,"Exótico","VILLA PUEYRREDON",12,"no"
9,28,0,"Exótico","COLEGIALES",13,"si"
1,3,0,"Exótico","RETIRO",1,"no"
8,31,0,"Exótico","BOCA",4,"si"
15,80,12,"Exótico","VILLA SANTA RITA",11,"no"
17,39,7,"Nativo/Autóctono","NUEVA POMPEYA",4,"no"
7,21,0,"Exótico","VILLA GRAL. MITRE",11,"si"
8,41,10,"Exótico","VILLA SANTA RITA",11,"si"
11,28,20,"Exótico","NUEVA POMPEYA",4,"si"
8,21,0,"Exótico","SAAVEDRA",12,"si"
8,23,0,"Exótico","COGHLAN",12,"si"
15,41,0,"Exótico","VILLA URQUIZA",12,"no"
12,52,0,"Exótico","BARRACAS",4,"no"
3,1,0,"Nativo/Autóctono","MONSERRAT",1,"no"
9,63,0,"Exótico","LINIERS",9,"no"
8,26,0,"Exótico","VERSALLES",10,"si"
25,84,0,"Nativo/Autóctono","BELGRANO",13,"no"
3,6,0,"Exótico","PARQUE CHACABUCO",7,"no"
10,17,0,"Exótico","ALMAGRO",5,"no"
6,22,0,"Exótico","VILLA SANTA RITA",11,"no"
1,2,6,"Nativo/Autóctono","SAAVEDRA",12,"no"
3,7,0,"Exótico","VERSALLES",10,"no"
7,16,7,"Exótico","PATERNAL",15,"si"
9,34,0,"Exótico","BARRACAS",4,"si"
7,14,13,"Exótico","RECOLETA",2,"si"
9,22,12,"Exótico","VILLA SOLDATI",8,"no"
8,12,0,"Exótico","BELGRANO",13,"si"
5,16,0,"Exótico","VILLA SOLDATI",8,"no"
8,35,14,"Exótico","VILLA GRAL. MITRE",11,"no"
11,60,4,"Exótico","MATADEROS",9,"si"
22,83,0,"Nativo/Autóctono","SAAVEDRA",12,"no"
6,26,0,"Exótico","BOEDO",5,"no"
5,12,10,"Exótico","CABALLITO",6,"no"
7,32,0,"Exótico","VILLA LUGANO",8,"no"
5,31,0,"Exótico","BOEDO",5,"no"
3,15,0,"Exótico","BARRACAS",4,"no"
4,16,0,"Exótico","MATADEROS",9,"no"
16,43,0,"Exótico","PARQUE AVELLANEDA",9,"no"
13,73,0,"Nativo/Autóctono","BELGRANO",13,"no"
5,18,0,"Exótico","CABALLITO",6,"si"
8,21,10,"Exótico","SAAVEDRA",12,"si"
11,95,15,"Exótico","FLORESTA",10,"si"
9,35,0,"Exótico","CHACARITA",15,"si"
11,31,0,"Exótico","CABALLITO",6,"si"
7,25,0,"Exótico","COLEGIALES",13,"no"
8,22,0,"Exótico","VILLA DEVOTO",11,"no"
12,74,0,"Exótico","VILLA SANTA RITA",11,"no"
15,103,15,"Exótico","VILLA URQUIZA",12,"no"
4,16,0,"Exótico","FLORES",7,"no"
23,70,0,"Nativo/Autóctono","FLORES",7,"no"
8,30,0,"Exótico","PARQUE CHACABUCO",7,"si"
12,86,8,"Exótico","COGHLAN",12,"no"
9,15,0,"Exótico","SAN CRISTOBAL",3,"si"
9,34,0,"Exótico","SAAVEDRA",12,"si"
5,8,0,"Exótico","PARQUE CHAS",15,"si"
13,40,0,"Exótico","CABALLITO",6,"no"
6,12,6,"Exótico","VILLA URQUIZA",12,"si"
4,18,0,"Exótico","MONSERRAT",1,"si"
6,0,0,"Exótico","PARQUE PATRICIOS",4,"no"
2,8,0,"Exótico","VILLA URQUIZA",12,"no"
12,25,0,"Exótico","VILLA LURO",10,"si"
14,40,0,"Exótico","BARRACAS",4,"no"
12,33,10,"Nativo/Autóctono","MONSERRAT",1,"no"
16,52,7,"Exótico","COGHLAN",12,"no"
8,27,0,"Exótico","MATADEROS",9,"si"
5,25,0,"Exótico","VILLA ORTUZAR",15,"no"
21,72,18,"Nativo/Autóctono","CHACARITA",15,"no"
10,47,0,"Exótico","SAAVEDRA",12,"no"
10,22,15,"Exótico","BALVANERA",3,"si"
16,60,10,"Nativo/Autóctono","PARQUE CHACABUCO",7,"no"
12,92,0,"Exótico","VILLA GRAL. MITRE",11,"no"
14,42,28,"Nativo/Autóctono","VILLA LURO",10,"no"
6,18,15,"Exótico","VILLA DEVOTO",11,"no"
15,39,0,"Exótico","VILLA DEL PARQUE",11,"si"
8,45,15,"Exótico","CABALLITO",6,"si"
5,24,0,"Exótico","LINIERS",9,"no"
9,28,0,"Exótico","VILLA SOLDATI",8,"no"
4,36,0,"Exótico","BARRACAS",4,"no"
8,37,0,"Exótico","VILLA LUGANO",8,"no"
15,75,6,"Exótico","PARQUE PATRICIOS",4,"no"
5,9,0,"Exótico","PARQUE AVELLANEDA",9,"si"
9,38,0,"Exótico","VILLA LUGANO",8,"si"
8,25,10,"Exótico","ALMAGRO",5,"si"
3,20,0,"Exótico","VILLA DEVOTO",11,"si"
12,89,9,"Exótico","VILLA DEL PARQUE",11,"no"
15,78,0,"Exótico","VILLA PUEYRREDON",12,"no"
22,60,0,"Exótico","FLORES",7,"no"
6,76,0,"Exótico","MATADEROS",9,"no"
6,15,0,"No Determinado","VILLA RIACHUELO",8,"no"
16,72,0,"Exótico","BARRACAS",4,"no"
8,34,0,"Exótico","VILLA SOLDATI",8,"no"
1,15,0,"Exótico","VILLA LUGANO",8,"no"
7,33,13,"Exótico","VILLA DEVOTO",11,"no"
4,36,0,"Exótico","BALVANERA",3,"no"
16,54,0,"Exótico","PALERMO",14,"no"
12,42,0,"Exótico","LINIERS",9,"no"
5,26,10,"Exótico","FLORESTA",10,"si"
8,72,0,"Exótico","VELEZ SARSFIELD",10,"no"
3,11,0,"Exótico","PARQUE AVELLANEDA",9,"no"
4,7,0,"Exótico","PALERMO",14,"no"
14,0,0,"Exótico","RECOLETA",2,"no"
26,75,0,"Exótico","PALERMO",14,"no"
3,15,0,"Exótico","VILLA LUGANO",8,"no"
7,9,0,"Exótico","BARRACAS",4,"si"
8,20,0,"Exótico","ALMAGRO",5,"si"
12,23,15,"Exótico","PALERMO",14,"si"
20,50,20,"Exótico","SAN TELMO",1,"no"
11,32,0,"Nativo/Autóctono","VILLA DEVOTO",11,"no"
7,25,0,"Exótico","CABALLITO",6,"si"
5,21,0,"Exótico","BELGRANO",13,"no"
9,12,0,"Nativo/Autóctono","SAN NICOLAS",1,"no"
8,25,4,"Exótico","CABALLITO",6,"si"
4,9,0,"Exótico","PARQUE PATRICIOS",4,"no"
9,35,0,"Exótico","LINIERS",9,"no"
8,17,0,"Exótico","RECOLETA",2,"no"
12,20,0,"Exótico","PARQUE PATRICIOS",4,"si"
4,37,28,"Exótico","BOCA",4,"si"
6,22,0,"Exótico","PARQUE CHACABUCO",7,"no"
7,20,0,"Exótico","FLORESTA",10,"no"
8,25,0,"Exótico","MATADEROS",9,"si"
9,59,6,"Exótico","BOCA",4,"no"
13,45,0,"Exótico","LINIERS",9,"no"
9,50,0,"Exótico","MATADEROS",9,"si"
9,31,0,"Exótico","VILLA URQUIZA",12,"si"
3,8,0,"Exótico","MATADEROS",9,"no"
5,15,0,"Exótico","BARRACAS",4,"no"
11,40,0,"Exótico","VILLA DEVOTO",11,"si"
1,22,0,"No Determinado","VILLA SANTA RITA",11,"no"
6,27,0,"Exótico","BELGRANO",13,"si"
7,19,0,"Exótico","VILLA RIACHUELO",8,"no"
5,9,0,"No Determinado","FLORES",7,"no"
8,27,0,"Exótico","VILLA URQUIZA",12,"si"
15,72,0,"Exótico","MATADEROS",9,"no"
9,11,0,"Exótico","VILLA URQUIZA",12,"si"
6,13,0,"Exótico","VERSALLES",10,"si"
3,3,0,"Exótico","VILLA RIACHUELO",8,"no"
8,26,0,"Exótico","VILLA URQUIZA",12,"si"
15,26,0,"Exótico","BARRACAS",4,"no"
3,16,0,"Nativo/Autóctono","COLEGIALES",13,"no"
8,16,0,"Exótico","SAN NICOLAS",1,"si"
12,22,0,"Exótico","CABALLITO",6,"si"
7,61,0,"Exótico","VILLA DEVOTO",11,"no"
11,15,0,"Exótico","BARRACAS",4,"no"
5,35,7,"Exótico","SAAVEDRA",12,"no"
9,30,0,"Nativo/Autóctono","VERSALLES",10,"no"
6,18,6,"Exótico","CHACARITA",15,"si"
5,17,0,"Exótico","VILLA LUGANO",8,"no"
8,30,10,"Nativo/Autóctono","VILLA URQUIZA",12,"no"
9,25,0,"Exótico","CONSTITUCION",1,"si"
6,15,2,"Exótico","SAAVEDRA",12,"no"
3,4,0,"Nativo/Autóctono","VILLA ORTUZAR",15,"no"
3,36,0,"Exótico","MATADEROS",9,"no"
7,25,0,"Exótico","VILLA RIACHUELO",8,"no"
10,36,0,"Exótico","PARQUE PATRICIOS",4,"si"
2,4,0,"Exótico","CABALLITO",6,"no"
7,36,0,"Exótico","VILLA DEVOTO",11,"si"
3,3,0,"Exótico","COLEGIALES",13,"no"
4,12,0,"Exótico","VILLA LUGANO",8,"si"
6,15,0,"Exótico","VILLA LUGANO",8,"no"
3,19,0,"Exótico","FLORESTA",10,"no"
23,59,11,"Exótico","FLORES",7,"no"
9,36,14,"Nativo/Autóctono","COLEGIALES",13,"no"
12,36,15,"Exótico","PALERMO",14,"si"
9,20,0,"Exótico","VELEZ SARSFIELD",10,"no"
6,14,0,"Exótico","VILLA LUGANO",8,"no"
6,27,0,"Exótico","COLEGIALES",13,"si"
18,60,0,"Exótico","CABALLITO",6,"no"
2,2,0,"Exótico","VILLA DEVOTO",11,"no"
4,27,0,"Exótico","NUEVA POMPEYA",4,"si"
3,4,0,"Exótico","BELGRANO",13,"si"
11,37,0,"Exótico","BARRACAS",4,"si"
13,40,0,"Exótico","PARQUE CHACABUCO",7,"no"
8,47,0,"Exótico","VILLA LUGANO",8,"si"
10,45,0,"Exótico","MATADEROS",9,"no"
9,22,11,"Exótico","FLORES",7,"si"
3,11,0,"Exótico","MATADEROS",9,"no"
5,7,15,"Nativo/Autóctono","COLEGIALES",13,"no"
12,32,0,"Exótico","PARQUE PATRICIOS",4,"si"
3,30,0,"Exótico","BOCA",4,"no"
4,12,0,"Exótico","PARQUE CHACABUCO",7,"no"
7,31,7,"Exótico","VILLA SANTA RITA",11,"si"
17,45,15,"Nativo/Autóctono","MONSERRAT",1,"no"
6,19,7,"Exótico","VILLA PUEYRREDON",12,"no"
10,23,11,"Exótico","VILLA LURO",10,"si"
5,6,0,"Exótico","VILLA LURO",10,"no"
9,47,0,"Exótico","VILLA DEVOTO",11,"no"
3,12,0,"Exótico","VERSALLES",10,"si"
9,50,0,"Exótico","PARQUE CHACABUCO",7,"no"
7,22,0,"Exótico","BARRACAS",4,"si"
7,25,0,"Exótico","PARQUE CHAS",15,"no"
2,20,0,"Exótico","NUEVA POMPEYA",4,"no"
3,31,7,"No Determinado","COGHLAN",12,"no"
9,27,7,"Exótico","SAAVEDRA",12,"si"
5,14,0,"Exótico","VILLA RIACHUELO",8,"no"
4,11,0,"Exótico","CABALLITO",6,"no"
5,15,0,"Nativo/Autóctono","PALERMO",14,"no"
11,23,10,"Exótico","FLORESTA",10,"no"
9,27,0,"Exótico","BELGRANO",13,"si"
7,25,0,"Exótico","NUEVA POMPEYA",4,"si"
12,23,0,"Exótico","PALERMO",14,"no"
3,5,0,"Exótico","BALVANERA",3,"si"
15,30,0,"Exótico","CONSTITUCION",1,"si"
8,18,25,"Exótico","PARQUE CHACABUCO",7,"si"
8,31,0,"Exótico","VILLA LUGANO",8,"si"
9,13,0,"Exótico","MONTE CASTRO",10,"no"
6,25,0,"Exótico","FLORESTA",10,"no"
7,13,5,"Exótico","PARQUE CHACABUCO",7,"no"
7,12,0,"Exótico","VILLA SANTA RITA",11,"no"
4,18,0,"Exótico","MATADEROS",9,"si"
7,15,0,"Exótico","VILLA DEL PARQUE",11,"no"
15,48,0,"Exótico","BARRACAS",4,"no"
10,17,8,"Exótico","RECOLETA",2,"no"
11,20,0,"Exótico","PARQUE CHACABUCO",7,"no"
20,38,22,"Exótico","SAN CRISTOBAL",3,"no"
13,37,7,"Exótico","VILLA PUEYRREDON",12,"si"
14,27,17,"Exótico","RECOLETA",2,"no"
16,60,0,"Exótico","VILLA DEL PARQUE",11,"no"
2,4,0,"Nativo/Autóctono","VILLA SOLDATI",8,"no"
7,18,0,"Exótico","RECOLETA",2,"si"
8,26,0,"Exótico","VILLA REAL",10,"no"
19,40,0,"Exótico","LINIERS",9,"no"
3,8,0,"Exótico","VILLA ORTUZAR",15,"no"
3,20,0,"Exótico","FLORES",7,"no"
12,17,0,"Exótico","MATADEROS",9,"no"
6,16,0,"Exótico","SAAVEDRA",12,"no"
14,62,0,"Exótico","AGRONOMIA",15,"no"
2,3,0,"Exótico","BELGRANO",13,"no"
20,59,10,"Exótico","BARRACAS",4,"no"
11,75,20,"Exótico","PARQUE AVELLANEDA",9,"no"
3,12,0,"No Determinado","VILLA GRAL. MITRE",11,"no"
3,7,0,"Exótico","VILLA RIACHUELO",8,"no"
6,9,0,"Exótico","AGRONOMIA",15,"no"
15,59,0,"Exótico","ALMAGRO",5,"no"
8,30,0,"Exótico","PARQUE CHACABUCO",7,"no"
3,6,0,"Exótico","NUEVA POMPEYA",4,"no"
3,5,0,"Exótico","PUERTO MADERO",1,"no"
3,17,0,"Exótico","VILLA LUGANO",8,"no"
12,55,0,"Exótico","SAAVEDRA",12,"si"
9,16,8,"Exótico","LINIERS",9,"si"
4,21,10,"Exótico","RECOLETA",2,"si"
7,22,10,"Exótico","VILLA DEVOTO",11,"si"
6,36,0,"Exótico","NUEVA POMPEYA",4,"si"
6,22,0,"Exótico","FLORESTA",10,"si"
16,55,23,"Exótico","BALVANERA",3,"no"
7,49,9,"Exótico","BELGRANO",13,"no"
4,30,0,"Exótico","LINIERS",9,"no"
24,58,0,"Exótico","VILLA CRESPO",15,"no"
12,17,0,"Exótico","RECOLETA",2,"si"
8,30,0,"Exótico","NUEVA POMPEYA",4,"si"
11,43,0,"Exótico","NUÑEZ",13,"no"
9,62,0,"Exótico","VILLA LURO",10,"si"
12,48,0,"Exótico","PUERTO MADERO",1,"no"
19,49,0,"Exótico","VILLA DEL PARQUE",11,"no"
8,35,0,"Exótico","RETIRO",1,"no"
11,31,0,"Nativo/Autóctono","BALVANERA",3,"no"
11,36,0,"Exótico","BELGRANO",13,"si"
4,8,0,"Exótico","SAN CRISTOBAL",3,"si"
18,35,0,"Exótico","ALMAGRO",5,"si"
11,45,0,"Exótico","RETIRO",1,"no"
